,FACS_Sorting,Age,Method,Multiplexed,Dataset,Anatomical_Site,Organ,10X_Chemistry,Donor_ID,Accession_ID,Organism,Sample_ID,Sex,Expected_Donors,Study,Technology,Age(PCW)
117,Total,6.9,3GEX,No,Linnarson,Striatum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X197_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
118,Total,6.9,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X198_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
119,Total,6.9,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X198_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
120,Total,6.9,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X198_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
121,Total,6.9,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X198_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
122,Total,6.9,3GEX,No,Linnarson,Thalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
123,Total,6.9,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X197_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
124,Total,6.9,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X197_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
125,Total,6.9,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X197_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
126,Total,6.9,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X197_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
127,Total,13.9,3GEX,No,Linnarson,Lung,Brain,10x3'v2,XDD:351,EGAD00001006049,Human,10X189_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,13.9
128,Total,6.9,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X196_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
129,Total,6.9,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X196_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
130,Total,6.9,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X196_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
131,Total,6.9,3GEX,No,Linnarson,Striatum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X196_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
132,Total,6.9,3GEX,No,Linnarson,Striatum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X196_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
133,Total,6.9,3GEX,No,Linnarson,Striatum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X198_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
134,Total,6.9,3GEX,No,Linnarson,Striatum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X198_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
135,Total,6.9,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
136,Total,13.9,3GEX,No,Linnarson,Lung,Brain,10x3'v2,XDD:351,EGAD00001006049,Human,10X189_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,13.9
137,Total,13.9,3GEX,No,Linnarson,Subcortex,Brain,10x3'v3,XDD:351,EGAD00001006049,Human,10X187_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,13.9
138,Total,13.9,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v3,XDD:351,EGAD00001006049,Human,10X187_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,13.9
